id,id_kabupaten_kota,kecamatan,deleted
205,23,LONGKIB,F
206,9,KLUET SELATAN,F
207,5,MEURAH MULIA,F
208,11,LHOONG,F
209,6,GRONG GRONG,F
210,9,LABUHAN HAJI BARAT,F
211,6,MUARA TIGA,F
212,13,BENER KELIPAH,F
213,19,LUENG BATA,F
214,12,LAWE ALAS,F
215,15,MUARA SATU,F
216,4,SIMPANG JERNIH,F
217,23,SULTAN DAULAT,F
218,11,DARUL IMARAH,F
219,8,KUTA PANJANG,F
220,6,KOTA SIGLI,F
221,12,LAWE SUMUR,F
222,22,JAGONG JEGET,F
223,8,TERANGUN (TERANGON),F
224,12,DELENG POKHISEN,F
225,11,MESJID RAYA,F
226,1,MEUREUDU,F
227,1,MEURAH DUA,F
228,5,SAMUDERA,F
229,11,DARUL KAMAL,F
230,3,KOTA JUANG,F
231,20,DANAU PARIS,F
232,19,JAYA BARU,F
233,17,SEUNAGAN TIMUR,F
234,16,JOHAN PAHLAWAN,F
235,3,PEUSANGAN SELATAN,F
236,6,MANE,F
237,9,SAWANG,F
238,6,SIMPANG TIGA,F
239,5,BAKTIYA BARAT,F
240,13,SYIAH UTAMA,F
241,4,BANDA ALAM,F
242,6,TIRO / TRUSEB,F
243,20,GUNUNG MERIAH (MARIAH),F
244,11,BLANK BINTANG,F
245,11,KOTA MALAKA (KUTA MALAKA),F
246,1,JANGKA BUYA,F
247,22,KEBAYAKAN,F
248,12,LAWE SIGALA-GALA,F
249,10,KOTA KUALA SIMPANG,F
250,6,DELIMA,F
251,1,TRIENGGADENG,F
252,23,SIMPANG KIRI,F
253,12,DARUL HASANAH,F
254,8,TERIPE / TRIPE JAYA,F
255,20,KOTA BAHARU,F
256,23,PENANGGALAN,F
257,19,ULEE KARENG,F
258,20,SIMPANG KANAN,F
259,12,BABUL MAKMUR,F
260,7,LEMBAH SABIL,F
261,9,TRUMON TENGAH,F
262,5,MUARA BATU,F
263,9,BAKONGAN,F
264,11,LEUPUNG,F
265,2,SIMEULEU TENGAH,F
266,16,SUNGAI MAS,F
267,8,PINING (PINDING),F
268,5,NISAM ANTARA,F
269,14,SETIA BAKTI,F
270,19,KUTA RAJA,F
271,19,BANDA RAYA,F
272,5,LAPANG,F
273,11,KRUENG BARONA JAYA,F
274,20,SINGKIL UTARA,F
275,8,PUTRI BETUNG,F
276,1,PANTERAJA,F
277,9,TRUMON,F
278,9,PASIE RAJA,F
279,9,BAKONGAN TIMUR,F
280,12,SEMADAM,F
281,20,KUALA BARU,F
282,4,IDI TIMUR,F
283,20,SINGKIL,F
