id,nama_satuan,time_stamp,deleted
1,kg,2025-01-17 10:55:32,F
2,liter,2025-01-17 10:55:32,F
3,karton,2025-01-17 10:55:32,F
4,ikat,2025-01-17 10:55:32,F
5,barrel,2025-02-13 12:07:46,F
13,drum,2025-02-13 12:29:14,F
